Category;TrainingName;TrainingDescription;BEFI20 - Accountant;BEFI30 - Payables Administrator;BEFI40 - Receivables Administrator;BEFI70 - FAM Accountant;BEFL10 - Fleet Engineer;BEFL20 - Fleet Analyst;BEIT10 - ERP Application Manager Lite;BEPR10 - Project Administrator;BEPR20 - Contract Manager;BEPR30 - Department Responsible Engineer;BEPR40 - Department Backoffice Clerk;BEPU10 - Buyer;BEPU30 - Employee;BEPU40 -Purchase Administrator;BEQM10 - Quality Inspector;BEWH10 - Receiving Clerk;BEWH20 - Shipping Clerk;BKFI20 - Financial Controller;BKFI40 - Period End Manager;BKFI50 - Super Period End Manager;BKFL10 - Fleet Manager;BKIT10 - ERP Application Manager;BKMD10 - Master Data - Business Partners;BKMD20 - Master Data - Items;BKMD30 - Master Data - Projects;BKMD40 - Master Data - Employees;BKMD41 - Master Data - Employees - People  (Timeway);BKPR10 - Project Manager;BKPR20 - Project Controller;BKPR30 - Fleet Controller;BKPR40 - Department Controller;BKPR50 - Department Manager;BKPU10 - Purchase Manager;BKWH10 - Warehouse Manager;BSPR90 - Auditor - READ-ONLY;BSPR99 - Special User - All Business Roles;EUWH10 - Receiving Clerk;PO Approver Only
PROCUREMENT PROCESS;Purchase Order Approval;How to approve Purchase Orders;;;;;x;;;;;;;x;;;;;;;;;x;;;;;;;x;;;;x;;;;;;x
PROCUREMENT PROCESS;Infor LN Purchase Requisitions - User training;How to create a Purchase Requisition - Employee-Role;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;x;;;;;
PROCUREMENT PROCESS;Procurement - PR, RFQ & PO;The procurement process concerning creating Purchase Requisitions, converting Purchase Requisitions to Request for Quotations process and Purchase Orders - Buyer-Role.;;;;;x;;;;;;;x;;;;x;;;;;;;;;;;;;;;;;x;;;x;;
PROCUREMENT PROCESS;Cycle Counting;This training is not available yet. The Cycle Counting Order Process. Cycle Counting is used to count the inventory and verify the registered inventory against the actual inventory at any point in time. You can use Cycle Count Orders to manually count the inventory by stock point and subsequently enter the counted quantities into Infor LN. ;;;;;x;;;;;;;x;;;;x;x;;;;;;;;;;;;;;;;x;x;;x;;
PROCUREMENT PROCESS;Purchase/WH Receipt Process;Guidelines to processing receipts - Purchase / Warehouse Receipts;;;;;x;;;;;;;x;;;;x;x;;;;;;;x;;;;;;;;;x;x;;;;
REPORTING;Vessels;This training is not available yet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REPORTING;Project Control Reports;This training is not available yet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REPORTING;Financial Control Reports;This training is not available yet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REPORTING;Reporting in SAP BPC;This training is not available yet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REPORTING;Fuel / Days confirmation;This training is not available yet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIMEWAY;Timeway - Hours Registration;How to process hours worked;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;
TIMEWAY;Back-office / set-up / Reporting;This training is not available yet;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;
TIMEWAY;Timeway - Approvers & reporting;This training is not available yet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VENA = Power BI Reporting;Vena BOKA_BCR;This training is not available yet - For now OUT OF SCOPE FAM INFOR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VENA = Power BI Reporting;Vena Installation Windows 10 / Vena Tool Upload;This training is not available yet - For now OUT OF SCOPE FAM INFOR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VENA = Power BI Reporting;SAP BPC upload;This training is not available yet - For now OUT OF SCOPE FAM INFOR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VENA = Power BI Reporting;Excel Ribbon;This training is not available yet - For now OUT OF SCOPE FAM INFOR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YELLOWSTAR;Yellowstar (warehouse receipt);How to receive and process warehouse goods;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;x;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;end;end;end;end;end;end;end;end;end;end;end;end;end;;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end;end;;
